,y|acc,y|virus taxid,y|virus name,y|len,y|virus kingdom,y|virus phylum,y|virus class,y|virus order,y|virus family,y|virus genus,y|host taxid,y|host name,y|host kingdom,y|host phylum,y|host class,y|host order,y|host family,y|host genus,y|host superkingdom,y|L0,y|L1,y|L2,y|host leaves
NC_014520.1,NC_014520.1,884200,Rotavirus D chicken/05V0049/DEU/2005,765,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,[9031],['Gallus gallus'],Metazoa,Chordata,Aves,Galliformes,Phasianidae,Gallus,Biota,Biota,Chordata,Aves,Aves
NC_014521.1,NC_014521.1,884200,Rotavirus D chicken/05V0049/DEU/2005,672,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,[9031],['Gallus gallus'],Metazoa,Chordata,Aves,Galliformes,Phasianidae,Gallus,Biota,Biota,Chordata,Aves,Aves
NC_014598.1,NC_014598.1,907191,Raspberry latent virus,3948,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Unclassified,Unclassified,"[32247, 23216]","['Rubus idaeus', 'Rubus']",Viridiplantae,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Rubus,Biota,Biota,Viridiplantae,,Viridiplantae
NC_014599.1,NC_014599.1,907191,Raspberry latent virus,3914,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Unclassified,Unclassified,"[32247, 23216]","['Rubus idaeus', 'Rubus']",Viridiplantae,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Rubus,Biota,Biota,Viridiplantae,,Viridiplantae
NC_014600.1,NC_014600.1,907191,Raspberry latent virus,3818,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Unclassified,Unclassified,"[32247, 23216]","['Rubus idaeus', 'Rubus']",Viridiplantae,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Rubus,Biota,Biota,Viridiplantae,,Viridiplantae
NC_014601.1,NC_014601.1,907191,Raspberry latent virus,3650,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Unclassified,Unclassified,"[32247, 23216]","['Rubus idaeus', 'Rubus']",Viridiplantae,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Rubus,Biota,Biota,Viridiplantae,,Viridiplantae
NC_014602.1,NC_014602.1,907191,Raspberry latent virus,2563,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Unclassified,Unclassified,"[32247, 23216]","['Rubus idaeus', 'Rubus']",Viridiplantae,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Rubus,Biota,Biota,Viridiplantae,,Viridiplantae
NC_014603.1,NC_014603.1,907191,Raspberry latent virus,1996,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Unclassified,Unclassified,"[32247, 23216]","['Rubus idaeus', 'Rubus']",Viridiplantae,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Rubus,Biota,Biota,Viridiplantae,,Viridiplantae
NC_014604.1,NC_014604.1,907191,Raspberry latent virus,1957,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Unclassified,Unclassified,"[32247, 23216]","['Rubus idaeus', 'Rubus']",Viridiplantae,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Rubus,Biota,Biota,Viridiplantae,,Viridiplantae
NC_014605.1,NC_014605.1,907191,Raspberry latent virus,1936,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Unclassified,Unclassified,"[32247, 23216]","['Rubus idaeus', 'Rubus']",Viridiplantae,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Rubus,Biota,Biota,Viridiplantae,,Viridiplantae
NC_014606.1,NC_014606.1,907191,Raspberry latent virus,1205,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Unclassified,Unclassified,"[32247, 23216]","['Rubus idaeus', 'Rubus']",Viridiplantae,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Rubus,Biota,Biota,Viridiplantae,,Viridiplantae
NC_014607.1,NC_014607.1,907191,Raspberry latent virus,1141,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Unclassified,Unclassified,"[32247, 23216]","['Rubus idaeus', 'Rubus']",Viridiplantae,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Rubus,Biota,Biota,Viridiplantae,,Viridiplantae
NC_014708.1,NC_014708.1,519497,Southern rice black-streaked dwarf virus,3167,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Spinareoviridae,Fijivirus,"[192627, 90397, 4577, 4530, 1249733]","['Cenchrus flaccidus', 'Echinochloa crus-galli', 'Zea mays', 'Oryza sativa', 'Cyperus serotinus']",Viridiplantae,Streptophyta,Magnoliopsida,Poales,Unclassified,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_014709.1,NC_014709.1,519497,Southern rice black-streaked dwarf virus,2651,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Spinareoviridae,Fijivirus,"[192627, 90397, 4577, 4530, 1249733]","['Cenchrus flaccidus', 'Echinochloa crus-galli', 'Zea mays', 'Oryza sativa', 'Cyperus serotinus']",Viridiplantae,Streptophyta,Magnoliopsida,Poales,Unclassified,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_014710.1,NC_014710.1,519497,Southern rice black-streaked dwarf virus,2176,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Spinareoviridae,Fijivirus,"[192627, 90397, 4577, 4530, 1249733]","['Cenchrus flaccidus', 'Echinochloa crus-galli', 'Zea mays', 'Oryza sativa', 'Cyperus serotinus']",Viridiplantae,Streptophyta,Magnoliopsida,Poales,Unclassified,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_014711.1,NC_014711.1,519497,Southern rice black-streaked dwarf virus,1928,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Spinareoviridae,Fijivirus,"[192627, 90397, 4577, 4530, 1249733]","['Cenchrus flaccidus', 'Echinochloa crus-galli', 'Zea mays', 'Oryza sativa', 'Cyperus serotinus']",Viridiplantae,Streptophyta,Magnoliopsida,Poales,Unclassified,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_014712.1,NC_014712.1,519497,Southern rice black-streaked dwarf virus,1900,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Spinareoviridae,Fijivirus,[4530],['Oryza sativa'],Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Oryza,Biota,Biota,Viridiplantae,,Viridiplantae
NC_014713.1,NC_014713.1,519497,Southern rice black-streaked dwarf virus,1798,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Spinareoviridae,Fijivirus,[4530],['Oryza sativa'],Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Oryza,Biota,Biota,Viridiplantae,,Viridiplantae
NC_014714.1,NC_014714.1,519497,Southern rice black-streaked dwarf virus,4500,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Spinareoviridae,Fijivirus,"[192627, 90397, 4577, 4530, 1249733]","['Cenchrus flaccidus', 'Echinochloa crus-galli', 'Zea mays', 'Oryza sativa', 'Cyperus serotinus']",Viridiplantae,Streptophyta,Magnoliopsida,Poales,Unclassified,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_014716.1,NC_014716.1,519497,Southern rice black-streaked dwarf virus,3618,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Spinareoviridae,Fijivirus,"[192627, 90397, 4577, 4530, 1249733]","['Cenchrus flaccidus', 'Echinochloa crus-galli', 'Zea mays', 'Oryza sativa', 'Cyperus serotinus']",Viridiplantae,Streptophyta,Magnoliopsida,Poales,Unclassified,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_014717.1,NC_014717.1,519497,Southern rice black-streaked dwarf virus,3571,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Spinareoviridae,Fijivirus,"[192627, 90397, 4577, 4530, 1249733]","['Cenchrus flaccidus', 'Echinochloa crus-galli', 'Zea mays', 'Oryza sativa', 'Cyperus serotinus']",Viridiplantae,Streptophyta,Magnoliopsida,Poales,Unclassified,Unclassified,Biota,Biota,Viridiplantae,,Viridiplantae
NC_015126.1,NC_015126.1,38170,Avian orthoreovirus,3958,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Spinareoviridae,Orthoreovirus,[9031],['Gallus gallus'],Metazoa,Chordata,Aves,Galliformes,Phasianidae,Gallus,Biota,Biota,Chordata,Aves,Aves
NC_015127.1,NC_015127.1,38170,Avian orthoreovirus,3829,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Spinareoviridae,Orthoreovirus,[9031],['Gallus gallus'],Metazoa,Chordata,Aves,Galliformes,Phasianidae,Gallus,Biota,Biota,Chordata,Aves,Aves
NC_015128.1,NC_015128.1,38170,Avian orthoreovirus,3907,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Spinareoviridae,Orthoreovirus,[9031],['Gallus gallus'],Metazoa,Chordata,Aves,Galliformes,Phasianidae,Gallus,Biota,Biota,Chordata,Aves,Aves
NC_015129.1,NC_015129.1,38170,Avian orthoreovirus,2283,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Spinareoviridae,Orthoreovirus,[9031],['Gallus gallus'],Metazoa,Chordata,Aves,Galliformes,Phasianidae,Gallus,Biota,Biota,Chordata,Aves,Aves
NC_015130.1,NC_015130.1,38170,Avian orthoreovirus,2158,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Spinareoviridae,Orthoreovirus,[9031],['Gallus gallus'],Metazoa,Chordata,Aves,Galliformes,Phasianidae,Gallus,Biota,Biota,Chordata,Aves,Aves
NC_015131.1,NC_015131.1,38170,Avian orthoreovirus,1996,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Spinareoviridae,Orthoreovirus,[9031],['Gallus gallus'],Metazoa,Chordata,Aves,Galliformes,Phasianidae,Gallus,Biota,Biota,Chordata,Aves,Aves
NC_015132.1,NC_015132.1,38170,Avian orthoreovirus,1645,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Spinareoviridae,Orthoreovirus,[9031],['Gallus gallus'],Metazoa,Chordata,Aves,Galliformes,Phasianidae,Gallus,Biota,Biota,Chordata,Aves,Aves
NC_015133.1,NC_015133.1,38170,Avian orthoreovirus,1324,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Spinareoviridae,Orthoreovirus,[9031],['Gallus gallus'],Metazoa,Chordata,Aves,Galliformes,Phasianidae,Gallus,Biota,Biota,Chordata,Aves,Aves
NC_015134.1,NC_015134.1,38170,Avian orthoreovirus,1202,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Spinareoviridae,Orthoreovirus,[9031],['Gallus gallus'],Metazoa,Chordata,Aves,Galliformes,Phasianidae,Gallus,Biota,Biota,Chordata,Aves,Aves
NC_015135.1,NC_015135.1,38170,Avian orthoreovirus,1192,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Spinareoviridae,Orthoreovirus,[9031],['Gallus gallus'],Metazoa,Chordata,Aves,Galliformes,Phasianidae,Gallus,Biota,Biota,Chordata,Aves,Aves
NC_015877.1,NC_015877.1,75888,Baboon orthoreovirus,3903,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Spinareoviridae,Orthoreovirus,"[9556, 9534]","['Papio cynocephalus', 'Chlorocebus aethiops']",Metazoa,Chordata,Mammalia,Primates,Cercopithecidae,Unclassified,Biota,Biota,Chordata,Primates,Primates
NC_015878.1,NC_015878.1,75888,Baboon orthoreovirus,3838,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Spinareoviridae,Orthoreovirus,"[9556, 9534]","['Papio cynocephalus', 'Chlorocebus aethiops']",Metazoa,Chordata,Mammalia,Primates,Cercopithecidae,Unclassified,Biota,Biota,Chordata,Primates,Primates
NC_015879.1,NC_015879.1,75888,Baboon orthoreovirus,3766,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Spinareoviridae,Orthoreovirus,"[9556, 9534]","['Papio cynocephalus', 'Chlorocebus aethiops']",Metazoa,Chordata,Mammalia,Primates,Cercopithecidae,Unclassified,Biota,Biota,Chordata,Primates,Primates
NC_015880.1,NC_015880.1,75888,Baboon orthoreovirus,2292,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Spinareoviridae,Orthoreovirus,"[9556, 9534]","['Papio cynocephalus', 'Chlorocebus aethiops']",Metazoa,Chordata,Mammalia,Primates,Cercopithecidae,Unclassified,Biota,Biota,Chordata,Primates,Primates
NC_015881.1,NC_015881.1,75888,Baboon orthoreovirus,2143,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Spinareoviridae,Orthoreovirus,"[9556, 9534]","['Papio cynocephalus', 'Chlorocebus aethiops']",Metazoa,Chordata,Mammalia,Primates,Cercopithecidae,Unclassified,Biota,Biota,Chordata,Primates,Primates
NC_015882.1,NC_015882.1,75888,Baboon orthoreovirus,1892,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Spinareoviridae,Orthoreovirus,"[9556, 9534]","['Papio cynocephalus', 'Chlorocebus aethiops']",Metazoa,Chordata,Mammalia,Primates,Cercopithecidae,Unclassified,Biota,Biota,Chordata,Primates,Primates
NC_015883.1,NC_015883.1,75888,Baboon orthoreovirus,1311,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Spinareoviridae,Orthoreovirus,"[9556, 9534]","['Papio cynocephalus', 'Chlorocebus aethiops']",Metazoa,Chordata,Mammalia,Primates,Cercopithecidae,Unclassified,Biota,Biota,Chordata,Primates,Primates
NC_015884.1,NC_015884.1,75888,Baboon orthoreovirus,1253,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Spinareoviridae,Orthoreovirus,"[9556, 9534]","['Papio cynocephalus', 'Chlorocebus aethiops']",Metazoa,Chordata,Mammalia,Primates,Cercopithecidae,Unclassified,Biota,Biota,Chordata,Primates,Primates
NC_015885.1,NC_015885.1,75888,Baboon orthoreovirus,887,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Spinareoviridae,Orthoreovirus,"[9556, 9534]","['Papio cynocephalus', 'Chlorocebus aethiops']",Metazoa,Chordata,Mammalia,Primates,Cercopithecidae,Unclassified,Biota,Biota,Chordata,Primates,Primates
NC_015886.1,NC_015886.1,75888,Baboon orthoreovirus,1150,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Spinareoviridae,Orthoreovirus,"[9556, 9534]","['Papio cynocephalus', 'Chlorocebus aethiops']",Metazoa,Chordata,Mammalia,Primates,Cercopithecidae,Unclassified,Biota,Biota,Chordata,Primates,Primates
NC_016874.1,NC_016874.1,1004049,Spissistilus festinus reovirus,3780,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Unclassified,Unclassified,[30097],['Spissistilus festinus'],Metazoa,Arthropoda,Insecta,Hemiptera,Membracidae,Spissistilus,Biota,Biota,Invertebrate,,Invertebrate
NC_016875.1,NC_016875.1,1004049,Spissistilus festinus reovirus,3325,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Unclassified,Unclassified,[30097],['Spissistilus festinus'],Metazoa,Arthropoda,Insecta,Hemiptera,Membracidae,Spissistilus,Biota,Biota,Invertebrate,,Invertebrate
NC_016876.1,NC_016876.1,1004049,Spissistilus festinus reovirus,2031,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Unclassified,Unclassified,[30097],['Spissistilus festinus'],Metazoa,Arthropoda,Insecta,Hemiptera,Membracidae,Spissistilus,Biota,Biota,Invertebrate,,Invertebrate
NC_016877.1,NC_016877.1,1004049,Spissistilus festinus reovirus,1761,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Unclassified,Unclassified,[30097],['Spissistilus festinus'],Metazoa,Arthropoda,Insecta,Hemiptera,Membracidae,Spissistilus,Biota,Biota,Invertebrate,,Invertebrate
NC_016878.1,NC_016878.1,1004049,Spissistilus festinus reovirus,1121,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Unclassified,Unclassified,[30097],['Spissistilus festinus'],Metazoa,Arthropoda,Insecta,Hemiptera,Membracidae,Spissistilus,Biota,Biota,Invertebrate,,Invertebrate
NC_016879.1,NC_016879.1,1004049,Spissistilus festinus reovirus,4012,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Unclassified,Unclassified,[30097],['Spissistilus festinus'],Metazoa,Arthropoda,Insecta,Hemiptera,Membracidae,Spissistilus,Biota,Biota,Invertebrate,,Invertebrate
NC_016880.1,NC_016880.1,1004049,Spissistilus festinus reovirus,3729,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Unclassified,Unclassified,[30097],['Spissistilus festinus'],Metazoa,Arthropoda,Insecta,Hemiptera,Membracidae,Spissistilus,Biota,Biota,Invertebrate,,Invertebrate
NC_016881.1,NC_016881.1,1004049,Spissistilus festinus reovirus,2238,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Unclassified,Unclassified,[30097],['Spissistilus festinus'],Metazoa,Arthropoda,Insecta,Hemiptera,Membracidae,Spissistilus,Biota,Biota,Invertebrate,,Invertebrate
NC_016882.1,NC_016882.1,1004049,Spissistilus festinus reovirus,1937,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Unclassified,Unclassified,[30097],['Spissistilus festinus'],Metazoa,Arthropoda,Insecta,Hemiptera,Membracidae,Spissistilus,Biota,Biota,Invertebrate,,Invertebrate
NC_016883.1,NC_016883.1,1004049,Spissistilus festinus reovirus,1205,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Unclassified,Unclassified,[30097],['Spissistilus festinus'],Metazoa,Arthropoda,Insecta,Hemiptera,Membracidae,Spissistilus,Biota,Biota,Invertebrate,,Invertebrate
NC_021541.1,NC_021541.1,10942,Human rotavirus B,3511,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,[9606],['Homo sapiens'],Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Biota,Biota,Chordata,Primates,Primates
NC_021542.1,NC_021542.1,10942,Human rotavirus B,814,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,[9606],['Homo sapiens'],Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Biota,Biota,Chordata,Primates,Primates
NC_021543.1,NC_021543.1,10942,Human rotavirus B,2306,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,[9606],['Homo sapiens'],Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Biota,Biota,Chordata,Primates,Primates
NC_021544.1,NC_021544.1,10942,Human rotavirus B,1269,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,[9606],['Homo sapiens'],Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Biota,Biota,Chordata,Primates,Primates
NC_021545.1,NC_021545.1,10942,Human rotavirus B,2847,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,[9606],['Homo sapiens'],Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Biota,Biota,Chordata,Primates,Primates
NC_021546.1,NC_021546.1,10942,Human rotavirus B,1276,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,[9606],['Homo sapiens'],Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Biota,Biota,Chordata,Primates,Primates
NC_021547.1,NC_021547.1,10942,Human rotavirus B,1179,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,[9606],['Homo sapiens'],Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Biota,Biota,Chordata,Primates,Primates
NC_021548.1,NC_021548.1,10942,Human rotavirus B,1007,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,[9606],['Homo sapiens'],Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Biota,Biota,Chordata,Primates,Primates
NC_021549.1,NC_021549.1,10942,Human rotavirus B,631,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,[9606],['Homo sapiens'],Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Biota,Biota,Chordata,Primates,Primates
NC_021550.1,NC_021550.1,10942,Human rotavirus B,751,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,[9606],['Homo sapiens'],Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Biota,Biota,Chordata,Primates,Primates
NC_021551.1,NC_021551.1,10942,Human rotavirus B,2341,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,[9606],['Homo sapiens'],Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Biota,Biota,Chordata,Primates,Primates
NC_021580.1,NC_021580.1,994995,Rotavirus G chicken/03V0567/DEU/2003,3014,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,[9031],['Gallus gallus'],Metazoa,Chordata,Aves,Galliformes,Phasianidae,Gallus,Biota,Biota,Chordata,Aves,Aves
NC_021581.1,NC_021581.1,994995,Rotavirus G chicken/03V0567/DEU/2003,2364,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,[9031],['Gallus gallus'],Metazoa,Chordata,Aves,Galliformes,Phasianidae,Gallus,Biota,Biota,Chordata,Aves,Aves
NC_021582.1,NC_021582.1,994995,Rotavirus G chicken/03V0567/DEU/2003,825,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,[9031],['Gallus gallus'],Metazoa,Chordata,Aves,Galliformes,Phasianidae,Gallus,Biota,Biota,Chordata,Aves,Aves
NC_021583.1,NC_021583.1,994995,Rotavirus G chicken/03V0567/DEU/2003,1295,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,[9031],['Gallus gallus'],Metazoa,Chordata,Aves,Galliformes,Phasianidae,Gallus,Biota,Biota,Chordata,Aves,Aves
NC_021584.1,NC_021584.1,994995,Rotavirus G chicken/03V0567/DEU/2003,1012,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,[9031],['Gallus gallus'],Metazoa,Chordata,Aves,Galliformes,Phasianidae,Gallus,Biota,Biota,Chordata,Aves,Aves
NC_021585.1,NC_021585.1,994995,Rotavirus G chicken/03V0567/DEU/2003,1052,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,[9031],['Gallus gallus'],Metazoa,Chordata,Aves,Galliformes,Phasianidae,Gallus,Biota,Biota,Chordata,Aves,Aves
NC_021586.1,NC_021586.1,994995,Rotavirus G chicken/03V0567/DEU/2003,801,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,[9031],['Gallus gallus'],Metazoa,Chordata,Aves,Galliformes,Phasianidae,Gallus,Biota,Biota,Chordata,Aves,Aves
NC_021587.1,NC_021587.1,994995,Rotavirus G chicken/03V0567/DEU/2003,678,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,[9031],['Gallus gallus'],Metazoa,Chordata,Aves,Galliformes,Phasianidae,Gallus,Biota,Biota,Chordata,Aves,Aves
NC_021588.1,NC_021588.1,994995,Rotavirus G chicken/03V0567/DEU/2003,1267,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,[9031],['Gallus gallus'],Metazoa,Chordata,Aves,Galliformes,Phasianidae,Gallus,Biota,Biota,Chordata,Aves,Aves
NC_021589.1,NC_021589.1,994995,Rotavirus G chicken/03V0567/DEU/2003,2352,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,[9031],['Gallus gallus'],Metazoa,Chordata,Aves,Galliformes,Phasianidae,Gallus,Biota,Biota,Chordata,Aves,Aves
NC_021590.1,NC_021590.1,994995,Rotavirus G chicken/03V0567/DEU/2003,3526,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,[9031],['Gallus gallus'],Metazoa,Chordata,Aves,Galliformes,Phasianidae,Gallus,Biota,Biota,Chordata,Aves,Aves
NC_021625.1,NC_021625.1,994994,Rotavirus F chicken/03V0568/DEU/2003,3296,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,[9031],['Gallus gallus'],Metazoa,Chordata,Aves,Galliformes,Phasianidae,Gallus,Biota,Biota,Chordata,Aves,Aves
NC_021626.1,NC_021626.1,994994,Rotavirus F chicken/03V0568/DEU/2003,2769,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,[9031],['Gallus gallus'],Metazoa,Chordata,Aves,Galliformes,Phasianidae,Gallus,Biota,Biota,Chordata,Aves,Aves
NC_021627.1,NC_021627.1,994994,Rotavirus F chicken/03V0568/DEU/2003,990,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,[9031],['Gallus gallus'],Metazoa,Chordata,Aves,Galliformes,Phasianidae,Gallus,Biota,Biota,Chordata,Aves,Aves
NC_021628.1,NC_021628.1,994994,Rotavirus F chicken/03V0568/DEU/2003,1068,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,[9031],['Gallus gallus'],Metazoa,Chordata,Aves,Galliformes,Phasianidae,Gallus,Biota,Biota,Chordata,Aves,Aves
NC_021629.1,NC_021629.1,994994,Rotavirus F chicken/03V0568/DEU/2003,706,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,[9031],['Gallus gallus'],Metazoa,Chordata,Aves,Galliformes,Phasianidae,Gallus,Biota,Biota,Chordata,Aves,Aves
NC_021630.1,NC_021630.1,994994,Rotavirus F chicken/03V0568/DEU/2003,2174,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,[9031],['Gallus gallus'],Metazoa,Chordata,Aves,Galliformes,Phasianidae,Gallus,Biota,Biota,Chordata,Aves,Aves
NC_021631.1,NC_021631.1,994994,Rotavirus F chicken/03V0568/DEU/2003,2246,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,[9031],['Gallus gallus'],Metazoa,Chordata,Aves,Galliformes,Phasianidae,Gallus,Biota,Biota,Chordata,Aves,Aves
NC_021632.1,NC_021632.1,994994,Rotavirus F chicken/03V0568/DEU/2003,1791,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,[9031],['Gallus gallus'],Metazoa,Chordata,Aves,Galliformes,Phasianidae,Gallus,Biota,Biota,Chordata,Aves,Aves
NC_021633.1,NC_021633.1,994994,Rotavirus F chicken/03V0568/DEU/2003,1309,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,[9031],['Gallus gallus'],Metazoa,Chordata,Aves,Galliformes,Phasianidae,Gallus,Biota,Biota,Chordata,Aves,Aves
NC_021634.1,NC_021634.1,994994,Rotavirus F chicken/03V0568/DEU/2003,678,Orthornavirae,Duplornaviricota,Resentoviricetes,Reovirales,Sedoreoviridae,Rotavirus,[9031],['Gallus gallus'],Metazoa,Chordata,Aves,Galliformes,Phasianidae,Gallus,Biota,Biota,Chordata,Aves,Aves
